Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 267716  Y 191732
X 277559  Y 206692
X 276574  Y 210629
X 273622  Y 232283
X 254921  Y 232283
X 274606  Y 239173
X 274606  Y 243110
X 256889  Y 249015
X 260826  Y 249015
X 275590  Y 250000
X 260826  Y 253937
X 275590  Y 253937
X 256889  Y 253937
X 275590  Y 257874
X 262007  Y 327755
X 301377  Y 327755
X 281692  Y 327755
X 295275  Y 295275
X 279527  Y 257874
X 302165  Y 256397
X 291830  Y 243110
X 288385  Y 243110
X 302165  Y 243110
X 288385  Y 239173
X 280511  Y 210629
X 284448  Y 210629
X 288385  Y 210629
X 285433  Y 206692
X 281496  Y 206692
X 281496  Y 185531
X 281496  Y 182086
X 281496  Y 178641
X 300787  Y 96850
X 303149  Y 83661
X 303149  Y 79724
X 303149  Y 57086
X 283464  Y 57086
X 298228  Y 34940
X 295866  Y 18700
X 280118  Y 18700
X 287992  Y 18700
X 305708  Y 21259
X 305118  Y 39862
X 314566  Y 39960
X 316141  Y 55511
X 314960  Y 79724
X 311023  Y 79724
X 307086  Y 79724
X 319685  Y 95669
X 305413  Y 99803
X 321259  Y 100000
X 313287  Y 104133
X 317716  Y 104232
X 307086  Y 105118
X 307086  Y 113877
X 313287  Y 115354
X 317027  Y 132874
X 328346  Y 137795
X 317027  Y 138385
X 317027  Y 143897
X 318602  Y 149409
X 318602  Y 154921
X 318602  Y 160433
X 322834  Y 169488
X 305118  Y 181102
X 308070  Y 188976
X 312992  Y 198818
X 312204  Y 214566
X 320866  Y 232283
X 305610  Y 239173
X 317913  Y 239173
X 305610  Y 243110
X 317913  Y 243110
X 322834  Y 249015
X 318897  Y 249015
X 326771  Y 249015
X 322834  Y 253937
X 326771  Y 253937
X 318897  Y 253937
X 314960  Y 295275
X 321062  Y 327755
X 340748  Y 327755
X 354330  Y 317913
X 354330  Y 312992
X 354330  Y 308070
X 334645  Y 279527
X 334645  Y 259842
X 353346  Y 256889
X 353346  Y 252952
X 353346  Y 249015
X 353346  Y 245078
X 334645  Y 236220
X 354330  Y 232283
X 352362  Y 188779
X 341929  Y 181102
X 331397  Y 174015
X 341929  Y 155118
X 337401  Y 135039
X 337401  Y 129822
X 340157  Y 121653
X 332578  Y 118208
X 354330  Y 115157
X 340157  Y 114173
X 340157  Y 108661
X 332578  Y 104724
X 340551  Y 100393
X 349606  Y 94094
X 335039  Y 93996
X 345669  Y 90551
X 342125  Y 90551
X 338484  Y 90551
X 344389  Y 75393
X 343503  Y 63976
X 352657  Y 62598
X 343503  Y 60531
X 339566  Y 60531
X 334251  Y 39960
X 362204  Y 37007
X 378937  Y 55118
X 375000  Y 55118
X 378937  Y 59055
X 375000  Y 59055
X 378937  Y 62992
X 375000  Y 62992
X 356692  Y 66141
X 370472  Y 68700
X 367814  Y 93110
X 364173  Y 93307
X 366535  Y 96062
X 379035  Y 99704
X 356299  Y 108267
X 379133  Y 127657
X 379133  Y 133169
X 369685  Y 134940
X 379133  Y 138681
X 375196  Y 145570
X 370472  Y 150000
X 359055  Y 173031
X 370472  Y 173622
X 370078  Y 181102
X 375098  Y 200393
X 367224  Y 200393
X 356397  Y 225984
X 372047  Y 232283
X 358267  Y 247047
X 358267  Y 250984
X 358267  Y 254921
X 369094  Y 293307
X 378937  Y 293307
X 374015  Y 293307
X 369094  Y 298228
X 374015  Y 298228
X 378937  Y 298228
X 355610  Y 301082
X 374015  Y 303149
X 369094  Y 303149
X 378937  Y 303149
X 359251  Y 308070
X 378937  Y 308070
X 374015  Y 308070
X 369094  Y 308070
X 364173  Y 308070
X 378937  Y 312992
X 374015  Y 312992
X 359251  Y 312992
X 369094  Y 312992
X 364173  Y 312992
X 369094  Y 317913
X 374015  Y 317913
X 364173  Y 317913
X 359251  Y 317913
X 378937  Y 317913
X 360433  Y 327755
X 399803  Y 327755
X 380118  Y 327755
X 398622  Y 317913
X 393700  Y 317913
X 388779  Y 317913
X 383858  Y 317913
X 403543  Y 317913
X 398622  Y 312992
X 393700  Y 312992
X 388779  Y 312992
X 383858  Y 312992
X 403543  Y 312992
X 398622  Y 308070
X 393700  Y 308070
X 384448  Y 308070
X 403543  Y 308070
X 393700  Y 303149
X 398622  Y 303149
X 403543  Y 303149
X 403543  Y 298228
X 403543  Y 293307
X 400590  Y 283464
X 384448  Y 282480
X 400590  Y 279527
X 380905  Y 277559
X 392716  Y 275590
X 400590  Y 275590
X 396653  Y 275590
X 382874  Y 273622
X 380905  Y 269685
X 382874  Y 265748
X 401574  Y 232283
X 393110  Y 229921
X 383070  Y 229921
X 394685  Y 208661
X 396259  Y 198228
X 393307  Y 195374
X 388779  Y 190944
X 401574  Y 171259
X 389763  Y 161417
X 401574  Y 159448
X 387401  Y 154625
X 402559  Y 137007
X 402755  Y 133169
X 402755  Y 127657
X 399409  Y 118897
X 379724  Y 111417
X 394881  Y 110728
X 383070  Y 105413
X 394881  Y 105413
X 383070  Y 99704
X 403149  Y 98523
X 403149  Y 93405
X 391732  Y 90846
X 391732  Y 78051
X 390059  Y 68897
X 397637  Y 64074
X 381889  Y 37007
X 401574  Y 37007
X 421259  Y 37007
X 411417  Y 61023
X 429133  Y 61023
X 419685  Y 71653
X 414173  Y 80610
X 412401  Y 88681
X 408464  Y 95472
X 419685  Y 101968
X 408464  Y 107283
X 418110  Y 107874
X 418110  Y 111614
X 425196  Y 122145
X 416535  Y 125295
X 418110  Y 132086
X 418110  Y 135826
X 408562  Y 139370
X 425590  Y 148720
X 407480  Y 149409
X 424704  Y 157086
X 420964  Y 179921
X 411023  Y 208956
X 422244  Y 245078
X 417322  Y 245078
X 422244  Y 249015
X 417322  Y 249015
X 417322  Y 252952
X 422244  Y 252952
X 409744  Y 267519
X 408759  Y 300393
X 413385  Y 308070
X 408464  Y 308070
X 413385  Y 312992
X 408464  Y 312992
X 413385  Y 317913
X 408464  Y 317913
X 423228  Y 317913
X 428149  Y 317913
